UserID,OS,Python_Installed,Install_Method,Python_Version,Uses_Anaconda,Primary_IDE,First_Program_Success
1074,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1075,Windows,No,None,None,No,None,No
1076,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1077,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1078,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1079,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1080,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1081,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1082,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1083,Mac,No,None,None,No,None,No
1084,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1085,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1086,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1087,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1088,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1089,Windows,No,None,None,No,None,No
1090,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1091,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1092,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1093,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1094,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1095,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1096,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1097,Mac,No,None,None,No,None,No
1098,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1099,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1100,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1101,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1102,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1103,Windows,No,None,None,No,None,No
1104,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1105,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1106,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1107,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1108,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1109,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1110,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1111,Mac,No,None,None,No,None,No
1112,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1113,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1114,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1115,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1116,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1117,Windows,No,None,None,No,None,No
1118,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1119,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1120,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1121,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1122,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1123,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1124,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1125,Mac,No,None,None,No,None,No
1126,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1127,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1128,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1129,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1130,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1131,Windows,No,None,None,No,None,No
1132,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1133,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1134,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1135,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1136,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1137,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1138,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1139,Mac,No,None,None,No,None,No
1140,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1141,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1142,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1143,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1144,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1145,Windows,No,None,None,No,None,No
1146,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1147,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1148,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1149,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1150,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1151,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1152,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1153,Mac,No,None,None,No,None,No
1154,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1155,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1156,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1157,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1158,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1159,Windows,No,None,None,No,None,No
1160,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1161,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1162,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1163,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1164,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1165,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1166,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1167,Mac,No,None,None,No,None,No
1168,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1169,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1170,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1171,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1172,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1173,Windows,No,None,None,No,None,No
1174,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1175,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1176,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1177,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1178,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1179,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1180,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1181,Mac,No,None,None,No,None,No
1182,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1183,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1184,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1185,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1186,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1187,Windows,No,None,None,No,None,No
1188,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1189,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1190,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1191,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1192,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1193,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1194,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1195,Mac,No,None,None,No,None,No
1196,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1197,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1198,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1199,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1200,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
